"LG_Hannover_18_O_332-16";"freq";"simple";"manuel";"comment"
"137 Abs 1 ZPO";1;"137abs1zpo";"137 Abs 1 ZPO";""
"138 Abs 3 ZPO";1;"138abs3zpo";"138 Abs 3 ZPO";""
"18 O 25914";3;"18o25914";"18 O 25914";""
"187 Abs 1 BGB";1;"187abs1bgb";"187 Abs 1 BGB";""
"195 BGB";1;"195bgb";"195 BGB";""
"199 Abs 1 BGB";1;"199abs1bgb";"199 Abs 1 BGB";""
"199 Abs 1 Nr 1 BGB";1;"199abs1nr1bgb";"199 Abs 1 Nr 1 BGB";""
"199 Abs 3 Nr 1 BGB";2;"199abs3nr1bgb";"199 Abs 3 Nr 1 BGB";""
"2 U 1703 Kart";1;"2u1703kart";"2 U 1703 Kart";""
"2 U 58315 Kart";6;"2u58315kart";"2 U 58315 Kart";""
"2014104EU";1;"2014104eu";"2014104EU";""
"204 Abs 1 Nr 1 BGB";1;"204abs1nr1bgb";"204 Abs 1 Nr 1 BGB";""
"246 BGB";1;"246bgb";"246 BGB";""
"253 Abs 2 Nr 2 ZPO";1;"253abs2nr2zpo";"253 Abs 2 Nr 2 ZPO";""
"256 Abs 1 ZPO";1;"256abs1zpo";"256 Abs 1 ZPO";""
"261 Abs 1 ZPO";1;"261abs1zpo";"261 Abs 1 ZPO";""
"264 Nr 1 ZPO";1;"264nr1zpo";"264 Nr 1 ZPO";""
"264 Nr 2 ZPO";1;"264nr2zpo";"264 Nr 2 ZPO";""
"269 ZPO";1;"269zpo";"269 ZPO";""
"286 BGB";1;"286bgb";"286 BGB";""
"287 ZPO";2;"287zpo";"287 ZPO";""
"288 Abs 1 BGB";1;"288abs1bgb";"288 Abs 1 BGB";""
"288 Abs 1 Satz 2 BGB";1;"288abs1satz2bgb";"288 Abs 1 Satz 2 BGB";""
"296a ZPO";1;"296azpo";"296a ZPO";""
"308 Abs 1 ZPO";1;"308abs1zpo";"308 Abs 1 ZPO";""
"308 ZPO";1;"308zpo";"308 ZPO";""
"322 ZPO";2;"322zpo";"322 ZPO";""
"33 Abs 1 Satz 1 Satz 3 GWB";1;"33abs1satz1satz3gwb";"33 Abs 1 Satz 1 Satz 3 GWB";""
"33 Abs 3 GWB";1;"33abs3gwb";"33 Abs 3 GWB";""
"33 Abs 3 Satz 4 GWB";1;"33abs3satz4gwb";"33 Abs 3 Satz 4 GWB";""
"33 Abs 3 Satz 4 und 5 GWB";1;"33abs3satz4und5gwb";"33 Abs 3 Satz 4 und 5 GWB";""
"33 Abs 4 GWB";2;"33abs4gwb";"33 Abs 4 GWB";""
"33 Abs 5 GWB";1;"33abs5gwb";"33 Abs 5 GWB";""
"33 GWB";5;"33gwb";"33 GWB";""
"33a Abs 1 GWB";1;"33aabs1gwb";"33a Abs 1 GWB";""
"6 U 18303";1;"6u18303";"6 U 18303";""
"709 ZPO";1;"709zpo";"709 ZPO";""
"823 Abs 2 BGB";3;"823abs2bgb";"823 Abs 2 BGB";""
"823 BGB";2;"823bgb";"823 BGB";""
"849 BGB";6;"849bgb";"849 BGB";""
"852 Satz 1 BGB";1;"852satz1bgb";"852 Satz 1 BGB";""
"852 Satz 2 BGB";1;"852satz2bgb";"852 Satz 2 BGB";""
"92 ZPO";1;"92zpo";"92 ZPO";""
"BGH 07 04 2009 KZR 4208";1;"bgh07042009kzr4208";"BGH 07 04 2009 KZR 4208";""
"BGH 12 07 2016 KZR 2514";1;"bgh12072016kzr2514";"BGH 12 07 2016 KZR 2514";""
"BGH 14 03 2017 VI ZR 22516";1;"bgh14032017vizr22516";"BGH 14 03 2017 VI ZR 22516";""
"BGH 1872000 X ZR 6298";1;"bgh1872000xzr6298";"BGH 1872000 X ZR 6298";""
"BGH 19 11 2008 VIII ZR 13807";1;"bgh19112008viiizr13807";"BGH 19 11 2008 VIII ZR 13807";""
"BGH 21102014 XI ZB 1212";1;"bgh21102014xizb1212";"BGH 21102014 XI ZB 1212";""
"BGH 28 06 2011 KZR 7510";4;"bgh28062011kzr7510";"BGH 28 06 2011 KZR 7510";""
"BGH GRUR 1960 423";1;"bghgrur1960423";"BGH GRUR 1960 423";""
"BGH GRUR 1992 61";1;"bghgrur199261";"BGH GRUR 1992 61";""
"BGH GRUR 2001 849";1;"bghgrur2001849";"BGH GRUR 2001 849";""
"BGH GRUR 2012 291";1;"bghgrur2012291";"BGH GRUR 2012 291";""
"BGH NJW 2000 3492";2;"bghnjw20003492";"BGH NJW 2000 3492";""
"BGH NJW 2008 1084";1;"bghnjw20081084";"BGH NJW 2008 1084";""
"BGH NJW 2012 2022";1;"bghnjw20122022";"BGH NJW 2012 2022";""
"BGH NJWRR 2005 216";1;"bghnjwrr2005216";"BGH NJWRR 2005 216";""
"BGHZ 178 362";1;"bghz178362";"BGHZ 178 362";""
"BGHZ 190 145";7;"bghz190145";"BGHZ 190 145";""
"BGHZ 211 146";2;"bghz211146";"BGHZ 211 146";""
"GRUR 2001 849 850";2;"grur2001849850";"GRUR 2001 849 850";""
"I ZR 29500";1;"izr29500";"I ZR 29500";""
"KG Berlin 01 10 2009 2 U 1703 Kart";5;"kgberlin011020092u1703kart";"KG Berlin 01 10 2009 2 U 1703 Kart";""
"KZR 2514";1;"kzr2514";"KZR 2514";""
"KZR 3298";1;"kzr3298";"KZR 3298";""
"KZR 4208";1;"kzr4208";"KZR 4208";""
"LG Dortmund 01 04 2004 13 O 5502 Kart";1;"lgdortmund0104200413o5502kart";"LG Dortmund 01 04 2004 13 O 5502 Kart";""
"LG Dortmund 21 12 2016 8 O 9014 Kart";4;"lgdortmund211220168o9014kart";"LG Dortmund 21 12 2016 8 O 9014 Kart";""
"LG Dortmund 28 06 2017 8 O 2516 Kart";2;"lgdortmund280620178o2516kart";"LG Dortmund 28 06 2017 8 O 2516 Kart";""
"LG Hannover 05 07 2016 18 O 40514";5;"lghannover0507201618o40514";"LG Hannover 05 07 2016 18 O 40514";""
"LG Hannover 05072016 18 O 40514";3;"lghannover0507201618o40514";"LG Hannover 05072016 18 O 40514";""
"LG Hannover 31 05 2016 18 O 25914";3;"lghannover3105201618o25914";"LG Hannover 31 05 2016 18 O 25914";""
"NJW 2000 3492 3493";1;"njw200034923493";"NJW 2000 3492 3493";""
"NJW 2006 163";1;"njw2006163";"NJW 2006 163";""
"NJWRR 2004 639 640";1;"njwrr2004639640";"NJWRR 2004 639 640";""
"NJWRR 2005 216";1;"njwrr2005216";"NJWRR 2005 216";""
"NZKart 2013 195";1;"nzkart2013195";"NZKart 2013 195";""
"OLG Duesseldorf 14 05 2008 VIU Kart 1407";1;"olgduesseldorf14052008viukart1407";"OLG Duesseldorf 14 05 2008 VIU Kart 1407";""
"OLG Karlsruhe 31 07 2013 6 U 5112 Kart";1;"olgkarlsruhe310720136u5112kart";"OLG Karlsruhe 31 07 2013 6 U 5112 Kart";""
"VIII ZR 12703";1;"viiizr12703";"VIII ZR 12703";""
"VVRVG";3;"vvrvg";"VVRVG";""
