"LG_Dortmund_8_O_89-14__Kart";"freq";"simple";"manuel";"comment"
"1 GWB";2;"1gwb";"1 GWB";""
"133 Abs 1 S 1 Umwandlungsgesetz";1;"133abs1s1umwandlungsgesetz";"133 Abs 1 S 1 Umwandlungsgesetz";""
"138 Abs 3 ZPO";1;"138abs3zpo";"138 Abs 3 ZPO";""
"138 Abs 4 ZPO";1;"138abs4zpo";"138 Abs 4 ZPO";""
"199 Abs 3 S 1 Nr 1 BGB";1;"199abs3s1nr1bgb";"199 Abs 3 S 1 Nr 1 BGB";""
"2014104EU";1;"2014104eu";"2014104EU";""
"204 Abs 2 S 1 BGB";1;"204abs2s1bgb";"204 Abs 2 S 1 BGB";""
"304 Abs 1 ZPO";1;"304abs1zpo";"304 Abs 1 ZPO";""
"307 BGB";2;"307bgb";"307 BGB";""
"307 ff BGB";1;"307ffbgb";"307 ff BGB";""
"309 BGB";2;"309bgb";"309 BGB";""
"309 Nr 5 a BGB";1;"309nr5abgb";"309 Nr 5 a BGB";""
"309 Nr 5 b BGB";1;"309nr5bbgb";"309 Nr 5 b BGB";""
"309 Nr 5 BGB";2;"309nr5bgb";"309 Nr 5 BGB";""
"310 Abs 1 Satz 1 BGB";1;"310abs1satz1bgb";"310 Abs 1 Satz 1 BGB";""
"33 Abs 1 und 3 GWB";1;"33abs1und3gwb";"33 Abs 1 und 3 GWB";""
"33 Abs 4 GWB";5;"33abs4gwb";"33 Abs 4 GWB";""
"33 Abs 5 GWB";3;"33abs5gwb";"33 Abs 5 GWB";""
"33 Abs 5 S 1 GWB";1;"33abs5s1gwb";"33 Abs 5 S 1 GWB";""
"33 Abs 5 S 2 GWB";1;"33abs5s2gwb";"33 Abs 5 S 2 GWB";""
"33 GWB";8;"33gwb";"33 GWB";""
"33 III 4 GWB";1;"33iii4gwb";"33 III 4 GWB";""
"33 V GWB";1;"33vgwb";"33 V GWB";""
"33a Abs 1 GWB";1;"33aabs1gwb";"33a Abs 1 GWB";""
"7 O 11114";1;"7o11114";"7 O 11114";""
"7 O 20614";1;"7o20614";"7 O 20614";""
"823 Abs 2 BGB";1;"823abs2bgb";"823 Abs 2 BGB";""
"840 BGB";1;"840bgb";"840 BGB";""
"849 BGB";1;"849bgb";"849 BGB";""
"Art 169 Abs 1 EGBGB";1;"art169abs1egbgb";"Art 169 Abs 1 EGBGB";""
"BGH 23052012 VII ZR 21711";1;"bgh23052012viizr21711";"BGH 23052012 VII ZR 21711";""
"BGH NJW 2007 3774";1;"bghnjw20073774";"BGH NJW 2007 3774";""
"BGH VII ZR 1209";1;"bghviizr1209";"BGH VII ZR 1209";""
"BGH VII ZR 28694";1;"bghviizr28694";"BGH VII ZR 28694";""
"BGHZ 190 145";2;"bghz190145";"BGHZ 190 145";""
"BGHZ 67 312 319";1;"bghz67312319";"BGHZ 67 312 319";""
"BGHZ 90 278";1;"bghz90278";"BGHZ 90 278";""
"KG Berlin 2 U 1003 Kart";1;"kgberlin2u1003kart";"KG Berlin 2 U 1003 Kart";""
"LG Berlin 16 12 2014 16 O 38413 Kart";1;"lgberlin1612201416o38413kart";"LG Berlin 16 12 2014 16 O 38413 Kart";""
"LG Berlin 16 O 38413 Kart";2;"lgberlin16o38413kart";"LG Berlin 16 O 38413 Kart";""
"LG Berlin 6 08 2013 16 O 19311 Kart";1;"lgberlin608201316o19311kart";"LG Berlin 6 08 2013 16 O 19311 Kart";""
"LG Dortmund 13 O 5502 Kart";1;"lgdortmund13o5502kart";"LG Dortmund 13 O 5502 Kart";""
"LG Duesseldorf 14d O 414";1;"lgduesseldorf14do414";"LG Duesseldorf 14d O 414";""
"LG Hannover 18 O 25914";1;"lghannover18o25914";"LG Hannover 18 O 25914";""
"LG Mannheim 04052012 7 O 43611";1;"lgmannheim040520127o43611";"LG Mannheim 04052012 7 O 43611";""
"LG Mannheim 7 O 43611";1;"lgmannheim7o43611";"LG Mannheim 7 O 43611";""
"LG Potsdam 2 O 2914";1;"lgpotsdam2o2914";"LG Potsdam 2 O 2914";""
"nachgehend OLG Duesseldorf 2 Zivilsenat 29 08 2018 VIU Kart 1117";1;"nachgehendolgduesseldorf2zivilsenat29082018viukart1117";"nachgehend OLG Duesseldorf 2 Zivilsenat 29 08 2018 VIU Kart 1117";""
"NJW 2006 163";1;"njw2006163";"NJW 2006 163";""
"NZKart 2013 195";1;"nzkart2013195";"NZKart 2013 195";""
"NZKart 2014 366";1;"nzkart2014366";"NZKart 2014 366";""
"NZKart 2016 214";2;"nzkart2016214";"NZKart 2016 214";""
"NZKart 2016 422";1;"nzkart2016422";"NZKart 2016 422";""
"NZKart 2016 422 ff";1;"nzkart2016422ff";"NZKart 2016 422 ff";""
"NZKart 2016 595";1;"nzkart2016595";"NZKart 2016 595";""
"NZKart 2016 88";1;"nzkart201688";"NZKart 2016 88";""
"NZKart 2017 86";1;"nzkart201786";"NZKart 2017 86";""
"OLG Celle IBR 2012 506";1;"olgcelleibr2012506";"OLG Celle IBR 2012 506";""
"OLG Dresden 7 U 142113";1;"olgdresden7u142113";"OLG Dresden 7 U 142113";""
"OLG Karlsruhe 6 U 5112 Kart";2;"olgkarlsruhe6u5112kart";"OLG Karlsruhe 6 U 5112 Kart";""
"OLG Muenchen U 500611 Kart";1;"olgmuenchenu500611kart";"OLG Muenchen U 500611 Kart";""
"RG 01071889 RGZ 24 266";1;"rg01071889rgz24266";"RG 01071889 RGZ 24 266";""
"WuW 2017 98";1;"wuw201798";"WuW 2017 98";""
